instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
la03,ga,p,0.3,6,6007,617,200001,10.027750670999922,597
la03,ga,p,0.3,7,7007,617,200001,9.58144059999995,597
la03,ga,p,0.3,8,8007,622,200001,9.719946309999614,597
la03,ga,p,0.3,9,9007,627,200001,9.733001775999583,597
la03,ga,p,0.5,0,7,621,200001,8.841559564999443,597
la03,ga,p,0.5,1,1007,626,200001,8.460595857999579,597
la03,ga,p,0.5,2,2007,613,200001,9.28568395000002,597
la03,ga,p,0.5,3,3007,624,200001,9.223289991999991,597
la03,ga,p,0.5,4,4007,620,200001,8.946990602999904,597
la03,ga,p,0.5,5,5007,614,200001,8.978213010999752,597
la03,ga,p,0.5,6,6007,617,200001,9.251436137000383,597
la03,ga,p,0.5,7,7007,614,200001,8.916582908000237,597
la03,ga,p,0.5,8,8007,614,200001,8.863374713000667,597
la03,ga,p,0.5,9,9007,639,200001,8.747350945000107,597
la03,ga,p,0.7,0,7,622,200001,8.835449215999688,597
la03,ga,p,0.7,1,1007,619,200001,8.582543372000146,597
la03,ga,p,0.7,2,2007,613,200001,8.920966196000336,597
la03,ga,p,0.7,3,3007,621,200001,9.375884609999957,597
la03,ga,p,0.7,4,4007,622,200001,9.202318431000094,597
la03,ga,p,0.7,5,5007,617,200001,9.794914668999809,597
la03,ga,p,0.7,6,6007,632,200001,9.618180879000647,597
la03,ga,p,0.7,7,7007,627,200001,9.592916251000133,597
la03,ga,p,0.7,8,8007,620,200001,9.531928358000187,597
la03,ga,p,0.7,9,9007,614,200001,9.664306439000029,597
la03,ga,tournament_pct,0.1,0,7,617,200001,8.868552217999422,597
la03,ga,tournament_pct,0.1,1,1007,622,200001,8.547968416000003,597
la03,ga,tournament_pct,0.1,2,2007,622,200001,8.735759371000313,597
la03,ga,tournament_pct,0.1,3,3007,617,200001,8.326257801999418,597
la03,ga,tournament_pct,0.1,4,4007,617,200001,8.420091049999428,597
la03,ga,tournament_pct,0.1,5,5007,629,200001,8.261887204999766,597
la03,ga,tournament_pct,0.1,6,6007,619,200001,8.027503659000104,597
la03,ga,tournament_pct,0.1,7,7007,626,200001,8.21000142000048,597
la03,ga,tournament_pct,0.1,8,8007,630,200001,8.19333993500004,597
la03,ga,tournament_pct,0.1,9,9007,633,200001,8.218444594000175,597
la03,ga,tournament_pct,0.3,0,7,627,200001,8.645335328999863,597
la03,ga,tournament_pct,0.3,1,1007,626,200001,8.791272504999142,597
la03,ga,tournament_pct,0.3,2,2007,630,200001,8.64506205500038,597
la03,ga,tournament_pct,0.3,3,3007,632,200001,8.596558525000546,597
la03,ga,tournament_pct,0.3,4,4007,617,200001,8.624464879000698,597
la03,ga,tournament_pct,0.3,5,5007,639,200001,8.591801760000635,597
la03,ga,tournament_pct,0.3,6,6007,617,200001,8.439122789999601,597
la03,ga,tournament_pct,0.3,7,7007,617,200001,8.514660629999526,597
la03,ga,tournament_pct,0.3,8,8007,622,200001,8.419923978999577,597
la03,ga,tournament_pct,0.3,9,9007,627,200001,8.320614425000713,597
la03,ga,tournament_pct,0.6,0,7,645,200001,8.992203322000023,597
la03,ga,tournament_pct,0.6,1,1007,632,200001,8.91749230500045,597
la03,ga,tournament_pct,0.6,2,2007,620,200001,9.064535999999862,597
la03,ga,tournament_pct,0.6,3,3007,619,200001,8.901995715999874,597
la03,ga,tournament_pct,0.6,4,4007,622,200001,9.179221305999818,597
la03,ga,tournament_pct,0.6,5,5007,603,200001,9.158350326999425,597
la03,ga,tournament_pct,0.6,6,6007,617,200001,9.063647309999396,597
la03,ga,tournament_pct,0.6,7,7007,627,200001,8.928532905999418,597
